股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,多週期判讀,情境提醒,AI策略劇本,壓力,支撐,壓力 / 支撐,RR,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort
2344 華邦電,記憶體,125.0,100,主升多｜等突破,🔥 攻擊盤,temp-hot,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.99x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>記憶體</span></div>,資金剛開始集中，價格整理後仍有續攻味道，屬於偏積極的推進階段。<br>盤面偏積極，若明日維持量能，續強機率較高。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 114(30M平台) / 114(前低)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 114(30M平台) / 114(前低) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 128.75(保守壓力)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",128.75(保守壓力),114(30M平台) / 114(前低),128.75(保守壓力) / 114(30M平台) / 114(前低),0.34,主升多,多｜強多,多｜強多,放量｜RV 3.99x｜均線上彎,記憶體,0
2359 所羅門,"自選,機器人",141.0,100,主升多｜等突破,🔥 攻擊盤,temp-hot,"<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 2.76x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>自選,機器人</span></div>",資金剛開始集中，價格整理後仍有續攻味道，屬於偏積極的推進階段。<br>盤面偏積極，若明日維持量能，續強機率較高。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 133.5(30M平台) / 127.5(前低)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 133.5(30M平台) / 127.5(前低) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 145.23(保守壓力)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",145.23(保守壓力),133.5(30M平台) / 127.5(前低),145.23(保守壓力) / 133.5(30M平台) / 127.5(前低),0.56,主升多,多｜強多,多｜強多,放量｜RV 2.76x｜沿短均線攻擊,"自選,機器人",0
2421 建準,AI伺服器,158.5,100,主升多｜等突破,🔥 攻擊盤,temp-hot,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.79x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>AI伺服器</span></div>,資金剛開始集中，價格整理後仍有續攻味道，屬於偏積極的推進階段。<br>盤面偏積極，若明日維持量能，續強機率較高。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 151.5(30M平台) / 146.97(MA20)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 151.5(30M平台) / 146.97(MA20) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 160.5(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",160.5(30M平台),151.5(30M平台) / 146.97(MA20),160.5(30M平台) / 151.5(30M平台) / 146.97(MA20),0.29,主升多,多｜強多,多｜強多,放量｜RV 3.79x｜均線上彎,AI伺服器,0
3265 台星科,封測,186.0,100,主升多｜等突破,🔥 攻擊盤,temp-hot,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.99x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>封測</span></div>,資金剛開始集中，價格整理後仍有續攻味道，屬於偏積極的推進階段。<br>盤面偏積極，若明日維持量能，續強機率較高。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 177.78(MA20) / 177.5(30M平台)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 177.78(MA20) / 177.5(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 190(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",190(30M平台),177.78(MA20) / 177.5(30M平台),190(30M平台) / 177.78(MA20) / 177.5(30M平台),0.49,主升多,多｜強多,多｜強多,放量｜RV 3.99x｜均線上彎,封測,0
3706 神達,AI伺服器,87.8,100,主升多｜等突破,🔥 攻擊盤,temp-hot,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 2.88x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>AI伺服器</span></div>,資金剛開始集中，價格整理後仍有續攻味道，屬於偏積極的推進階段。<br>盤面偏積極，若明日維持量能，續強機率較高。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 83.22(MA20) / 83.2(30M平台)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 83.22(MA20) / 83.2(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 90.43(保守壓力)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",90.43(保守壓力),83.22(MA20) / 83.2(30M平台),90.43(保守壓力) / 83.22(MA20) / 83.2(30M平台),0.57,主升多,多｜偏多,多｜強多,放量｜RV 2.88x｜沿短均線攻擊,AI伺服器,0
5351 鈺創,記憶體,80.5,100,主升多｜等突破,🔥 攻擊盤,temp-hot,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 1.42x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>記憶體</span></div>,資金剛開始集中，價格整理後仍有續攻味道，屬於偏積極的推進階段。<br>盤面偏積極，若明日維持量能，續強機率較高。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 76.78(MA20) / 75.2(30M平台)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 76.78(MA20) / 75.2(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 82.1(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",82.1(30M平台),76.78(MA20) / 75.2(30M平台),82.1(30M平台) / 76.78(MA20) / 75.2(30M平台),0.43,主升多,多｜強多,多｜偏多,放量｜RV 1.42x｜均線上彎,記憶體,0
1513 中興電,自選,156.5,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.65x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>自選</span></div>,價格先收斂，市場在等方向表態，這類盤最怕提早猜。<br>盤面偏積極，若明日維持量能，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 153.5(30M平台) / 152.85(MA20)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 153.5(30M平台) / 152.85(MA20) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 157(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",157(30M平台),153.5(30M平台) / 152.85(MA20),157(30M平台) / 153.5(30M平台) / 152.85(MA20),0.17,多方壓縮,多｜偏多,多｜強多,放量｜RV 3.65x｜均線上彎,自選,2
2301 光寶科,AI伺服器,207.0,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 4.33x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>AI伺服器</span></div>,價格先收斂，市場在等方向表態，這類盤最怕提早猜。<br>盤面偏積極，若明日維持量能，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 204.5(30M平台) / 204(前低)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 204.5(30M平台) / 204(前低) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 207.5(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",207.5(30M平台),204.5(30M平台) / 204(前低),207.5(30M平台) / 204.5(30M平台) / 204(前低),0.20,多方壓縮,多｜強多,多｜偏多,放量｜RV 4.33x｜沿短均線攻擊,AI伺服器,2
2367 燿華,"自選,PCB",66.8,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,"<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 2.45x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>自選,PCB</span></div>",價格先收斂，市場在等方向表態，這類盤最怕提早猜。<br>盤面偏積極，若明日維持量能，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 64.1(30M平台) / 64(前低)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 64.1(30M平台) / 64(前低) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 67.1(30M平台) / 67.81(MA60)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",67.1(30M平台) / 67.81(MA60),64.1(30M平台) / 64(前低),67.1(30M平台) / 67.81(MA60) / 64.1(30M平台) / 64(前低),0.11,多方壓縮,多｜偏多,多｜強多,放量｜RV 2.45x｜均線上彎,"自選,PCB",2
2451 創見,記憶體,316.5,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 2.30x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>記憶體</span></div>,價格先收斂，市場在等方向表態，這類盤最怕提早猜。<br>盤面偏積極，若明日維持量能，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 313.5(30M平台) / 309.5(前低)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 313.5(30M平台) / 309.5(前低) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 322(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",322(30M平台),313.5(30M平台) / 309.5(前低),322(30M平台) / 313.5(30M平台) / 309.5(前低),1.83,多方壓縮,多｜強多,多｜偏多,放量｜RV 2.30x｜均線上彎,記憶體,2
