標的,現價,結構狀態,壓力,支撐,AI交易劇本
5443,118.00,空頭,123.90,112.10,盤後結構符合邏輯
2492,266.00,空頭,279.30,252.70,盤後結構符合邏輯
8054,110.00,多頭,115.50,104.50,盤後結構符合邏輯
2337,142.50,多頭,149.62,135.38,盤後結構符合邏輯
2367,64.30,空頭,67.52,61.08,盤後結構符合邏輯
6919,101.50,空頭,106.58,96.42,盤後結構符合邏輯
2359,133.00,空頭,139.65,126.35,盤後結構符合邏輯
1513,154.50,多頭,162.22,146.78,盤後結構符合邏輯
4979,596.00,多頭,625.80,566.20,盤後結構符合邏輯
3264,220.00,多頭,231.00,209.00,盤後結構符合邏輯
3017,2490.00,多頭,2614.50,2365.50,盤後結構符合邏輯
3324,990.00,多頭,1039.50,940.50,盤後結構符合邏輯
2382,311.00,多頭,326.55,295.45,盤後結構符合邏輯
3231,141.00,多頭,148.05,133.95,盤後結構符合邏輯
2376,318.00,多頭,333.90,302.10,盤後結構符合邏輯
2356,53.70,多頭,56.39,51.02,盤後結構符合邏輯
2301,205.50,空頭,215.78,195.22,盤後結構符合邏輯
2421,151.50,多頭,159.08,143.92,盤後結構符合邏輯
6669,5305.00,空頭,5570.25,5039.75,盤後結構符合邏輯
3706,83.30,多頭,87.47,79.13,盤後結構符合邏輯
