股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,市場狀態,多週期判讀,情境提醒,AI策略劇本,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort,主力痕跡
2451 創見,記憶體,316.5,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,壓縮等待,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.30x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,價格先收斂，市場在等方向表態。<br>盤面偏積極，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 313.5(30M平台) / 309.5(前低)，可先觀察續攻。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 313.5(30M平台) / 309.5(前低) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 322(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">目前屬於偏積極的結構，空間仍充足，以守支撐觀察續攻為主。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",多方壓縮,多｜強多,多｜偏多,放量｜RV 2.30x｜均線上彎,記憶體,2,量縮壓縮
3231 緯創,AI伺服器,144.5,100,多方壓縮｜等方向,🌤 觀察盤,temp-neutral,壓縮等待,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.49x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,價格先收斂，市場在等方向表態。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 140.15(MA20) / 140(30M平台)，可先觀察續攻。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 140.15(MA20) / 140(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 148.84(保守壓力)；若能帶量穿越，代表攻擊延續。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",多方壓縮,多｜偏多,多｜強多,放量｜RV 4.49x｜沿短均線攻擊,AI伺服器,2,量縮壓縮
2382 廣達,AI伺服器,316.0,97,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.66x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 308(30M平台) / 290(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 308(30M平台) / 290(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 316.5(30M平台) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",空方反彈,空｜偏空,多｜強多,放量｜RV 2.66x｜沿短均線攻擊,AI伺服器,5,量縮壓縮
5469 瀚宇博,PCB,82.9,97,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.27x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 81.6(30M平台) / 79(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 81.6(30M平台) / 79(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 83.2(30M平台) / 86.53(MA60) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",空方反彈,空｜偏空,多｜強多,放量｜RV 2.27x｜均線上彎,PCB,5,量縮壓縮
1536 和大,機器人,51.6,95,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.94x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 50.2(30M平台) / 49.1(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 50.2(30M平台) / 49.1(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 52(30M平台) / 52.32(MA60) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",空方反彈,空｜偏空,多｜強多,放量｜RV 1.94x｜均線上彎,機器人,5,量縮壓縮
2449 京元電子,封測,296.0,95,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.26x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 286(30M平台) / 277.5(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 286(30M平台) / 277.5(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 299(30M平台) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",空方反彈,空｜偏多,多｜強多,放量｜RV 3.26x｜均線上彎,封測,5,量縮壓縮
3706 神達,AI伺服器,87.8,91,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.88x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 83.22(MA20) / 83.2(30M平台)，可先觀察續攻。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 83.22(MA20) / 83.2(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 90.43(保守壓力)；若能帶量穿越，代表攻擊延續。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">目前屬於偏積極的結構，空間偏緊，以守支撐觀察續攻為主。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
",主升多,多｜偏多,多｜強多,放量｜RV 2.88x｜沿短均線攻擊,AI伺服器,0,短線轉強
3017 奇鋐,AI伺服器,2545.0,91,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.06x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 2485(30M平台) / 2340(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 2485(30M平台) / 2340(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 2575(30M平台) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",空方反彈,空｜偏多,多｜強多,放量｜RV 3.06x｜均線上彎,AI伺服器,5,量縮壓縮
3363 上詮,光通訊,852.0,91,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.48x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 818.65(MA20) / 816(30M平台) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 818.65(MA20) / 816(30M平台) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 859(30M平台) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",空方反彈,空｜強多,多｜強多,放量｜RV 2.48x｜沿短均線攻擊,光通訊,5,一般整理
8150 南茂,封測,79.1,91,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.25x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 75.9(30M平台) / 74.4(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 75.9(30M平台) / 74.4(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 79.8(大量K) / 81.4(30M平台) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",空方反彈,空｜偏多,多｜偏多,放量｜RV 3.25x｜均線上彎,封測,5,一般整理
