股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,市場狀態,壓力,支撐,RR,多週期判讀,情境提醒,AI策略劇本,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort,主力痕跡
3363 上詮,光通訊,840.0,100,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,884(前高) / 884(30M平台),836.6(MA20) / 804(前低),12.94,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.09x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 836.6(MA20) / 804(前低)，突破 884(前高) / 884(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏空,放量｜RV 2.09x｜橫向整理,光通訊,3,量縮壓縮
2421 建準,散熱液冷,168.5,100,主升多｜等突破,🔥 攻擊盤,temp-hot,初升,175(30M平台),167.5(30M平台) / 164.5(前低),6.50,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.42x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>盤面偏積極，續強機率較高。 空間條件不差，若結構延續，仍有操作彈性。,"方向：多方續強
關鍵：守住 167.5(30M平台) / 164.5(前低)，突破 175(30M平台)，RR 佳
劇本：條件偏完整，可偏順勢；若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。",主升多,多｜強多,多｜偏多,放量｜RV 2.42x｜均線上彎,散熱液冷,0,一般整理
2458 義隆,MCU,162.0,100,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,165(30M平台) / 167.5(前高),161.5(30M平台) / 156.28(MA20),6.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.89x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 161.5(30M平台) / 156.28(MA20)，突破 165(30M平台) / 167.5(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜強空,放量｜RV 3.89x｜沿短均線下殺,MCU,3,量縮壓縮
6494 九齊,MCU,57.7,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,壓縮等待,59.43(保守壓力),57(前低) / 56.32(MA20),2.47,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.86x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,價格先收斂，市場在等方向表態。<br>盤面偏積極，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 57(前低) / 56.32(MA20)，突破 59.43(保守壓力)，RR 佳
劇本：條件偏完整，可偏順勢；若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜強多,多｜強多,放量｜RV 1.86x｜沿短均線攻擊,MCU,2,量縮壓縮
4562 穎漢,機器人,40.85,99,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,41.7(前高),40.7(前低) / 40.4(MA20),5.67,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.45x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 40.7(前低) / 40.4(MA20)，突破 41.7(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏多,放量｜RV 1.45x｜橫向整理,機器人,3,量縮壓縮
3017 奇鋐,散熱液冷,2710.0,98,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,2855(前高) / 2860(30M平台),2700(前低) / 2690(30M平台),14.50,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.11x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"方向：觀察整理
關鍵：守住 2700(前低) / 2690(30M平台)，突破 2855(前高) / 2860(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",多方回檔,多｜強多,空｜偏空,放量｜RV 4.11x｜均線下彎,散熱液冷,3,一般整理
3324 雙鴻,散熱液冷,1185.0,98,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,1280(30M平台) / 1280(前高),1165(前低) / 1054.85(MA20),4.75,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.22x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"方向：觀察整理
關鍵：守住 1165(前低) / 1054.85(MA20)，突破 1280(30M平台) / 1280(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",多方回檔,多｜強多,空｜偏多,放量｜RV 3.22x｜橫向整理,散熱液冷,3,一般整理
2449 京元電子,封測,322.0,95,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,322.5(前高) / 329(30M平台),307.2(MA20) / 306.5(前低),29.60,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.76x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 307.2(MA20) / 306.5(前低)，突破 322.5(前高) / 329(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",空方反彈,空｜強多,多｜偏多,放量｜RV 2.76x｜均線上彎,封測,5,量縮壓縮
6515 穎崴,封測,8650.0,95,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,8757.08(MA60),8220(30M平台) / 8080(前低),4.02,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.82x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 8220(30M平台) / 8080(前低)，突破 8757.08(MA60)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",空方反彈,空｜偏空,多｜強多,放量｜RV 3.82x｜沿短均線攻擊,封測,5,量縮壓縮
2308 台達電,重電電力設備,2425.0,94,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,2455(30M平台) / 2455(前高),2420(30M平台) / 2360(前低),6.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.15x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：高檔震盪
關鍵：守住 2420(30M平台) / 2360(前低)，突破 2455(30M平台) / 2455(前高)，RR 佳
劇本：若量能無法延續，不追高；失守支撐先控風險。 量縮等待表態。",末升段,多｜強多,多｜偏空,放量｜RV 4.15x｜均線上彎,重電電力設備,1,量縮壓縮
