股票,現價,交易狀態,壓力,支撐,AI交易劇本
5443 均豪,116.0,⚠️ 空間不足｜避開,119.5(平台高) / 131(前高),114.5(平台低) / 109.13(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 3.02%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 119.5 不過可偏空；先看 114.5。</div>
        <div class=""script-line defensive"">防守線先看 114.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 3.02%｜回檔風險 1.29%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
2492 華新科,241.5,💤 偏多｜平台整理,-,220(平台低) / 206(前低),"
    <div class=""decision-container"">
        <div class=""script-line bull"">明天偏強看待｜先等 241.5 附近站穩，再考慮做多。</div>
        <div class=""script-line defensive"">做多參考：先等平台穩住，再看有沒有續攻機會。</div>
        <div class=""script-line defensive"">防守線先看 220；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">回檔風險 8.9%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">目前還在平台裡整理，明天只要量能跟上、站穩平台高，才比較有機會往上走。</div>"
8054 安國,107.0,⚠️ 空間不足｜避開,110.5(平台高),105.5(平台低) / 104.14(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 3.27%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 110.5 不過可偏空；先看 105.5。</div>
        <div class=""script-line defensive"">防守線先看 105.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 3.27%｜回檔風險 1.4%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
2337 旺宏,141.0,⚠️ 空間不足｜避開,144(平台高) / 162.5(前高),138.5(平台低) / 134.9(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 2.13%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 144 不過可偏空；先看 138.5。</div>
        <div class=""script-line defensive"">防守線先看 138.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 2.13%｜回檔風險 1.77%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
2367 燿華,64.2,⚡ 跳空過大｜防追高,64.3(前高) / 67.74(季線大壓),63.1(平台低) / 61.93(月線支撐),"
    <div class=""decision-container"">
        <div class=""script-line critical"">明天如果直接跳空開高 2.37%，先不要追，等 30 分鐘收完再看。</div>
        <div class=""script-line defensive"">做空參考：反彈到 64.3 不過可偏空；先看 63.1。</div>
        <div class=""script-line defensive"">防守線先看 63.1；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 0.16%｜回檔風險 1.71%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">明早跳空已經把節奏打亂，先不要急著追，等 30 分鐘收盤後再決定方向。</div>"
6919 康霈,101.5,⚡ 跳空過大｜防追高,104(前高) / 107(平台高),101.5(平台低) / 94.9(前低),"
    <div class=""decision-container"">
        <div class=""script-line critical"">明天如果直接跳空開高 2.88%，先不要追，等 30 分鐘收完再看。</div>
        <div class=""script-line defensive"">做空參考：反彈到 104 不過可偏空；先看 101.5。</div>
        <div class=""script-line defensive"">防守線先看 101.5；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 2.46%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">明早跳空已經把節奏打亂，先不要急著追，等 30 分鐘收盤後再決定方向。</div>"
2359 所羅門,127.5,💤 偏多｜平台整理,135(平台高) / 139(前高),127(平台低) / 121.55(月線支撐),"
    <div class=""decision-container"">
        <div class=""script-line bull"">明天偏強看待｜先等 135 附近站穩，再考慮做多。</div>
        <div class=""script-line defensive"">做多參考：先看 135；若 30 分鐘 K 收破 127，就先退。</div>
        <div class=""script-line defensive"">防守線先看 127；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 5.88%｜回檔風險 0.39%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">目前還在平台裡整理，明天只要量能跟上、站穩平台高，才比較有機會往上走。</div>"
1513 中興電,149.5,⚠️ 空間不足｜避開,150(前高) / 155.03(季線大壓),148.5(前低) / 148(平台低),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 0.33%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 150 不過可偏空；先看 148.5。</div>
        <div class=""script-line defensive"">防守線先看 148；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 0.33%｜回檔風險 0.67%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
4979 華星光,546.0,⚠️ 空間不足｜避開,551(前高) / 560(平台高),523(前低) / 490.98(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 0.92%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 551 不過可偏空；先看 523。</div>
        <div class=""script-line defensive"">防守線先看 523；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 0.92%｜回檔風險 4.21%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
3264 欣銓,205.5,⚠️ 偏空｜跌破尋底,214.5(平台高) / 230(前高),205(平台低) / 178.82(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line bear"">明天仍偏弱｜214.5 沒站回前，反彈先當壓力看。</div>
        <div class=""script-line defensive"">做空參考：反彈到 214.5 不過可偏空；先看 205。</div>
        <div class=""script-line defensive"">防守線先看 205；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 4.38%｜回檔風險 0.24%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">日K還在偏弱區間，反彈沒站回平台高前，先把壓力看重一點。</div>"
3017 奇鋐,2340.0,⚠️ 空間不足｜避開,2390(平台高) / 2455(前高),2325(平台低) / 2213.1(季線大撐),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 2.14%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 2390 不過可偏空；先看 2325。</div>
        <div class=""script-line defensive"">防守線先看 2325；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 2.14%｜回檔風險 0.64%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
3324 雙鴻,943.0,⚠️ 空間不足｜避開,966(平台高) / 995(前高),938(平台低),"
    <div class=""decision-container"">
        <div class=""script-line warning"">上方空間不大，先別追價，離目標只剩 2.44%。</div>
        <div class=""script-line defensive"">做空參考：反彈到 966 不過可偏空；先看 938。</div>
        <div class=""script-line defensive"">防守線先看 938；一定要等 30 分鐘 K 收破，才算真的失守。</div>
        <div class=""badge-row"">
            <span class=""script-badge status-rr"">上方空間 2.44%｜回檔風險 0.53%</span>
            <span class=""script-badge status-gap-info"">明天若直接跳空過大，先不追價。</span>
        </div>
    </div>
    <div class=""story-text"">雖然方向還可以，但上方剩下的肉不多，現在追上去容易撞壓，等拉回比較舒服。</div>"
