股票,族群,現價,AI分數,盤勢,交易狀態,市場溫度,日K方向,30分K方向,支撐,壓力,RR,量價判讀,市場狀態,多週期判讀,情境提醒,AI策略劇本,關鍵撐壓 / RR,_cats,_sort,_rr_value,_tone
8255 朋程,"車電功率,自選",168.0,38,⚠️ 保守盤,🔴 主跌空｜偏保守,⚠️ 保守盤,空｜偏多,空｜偏多,159.5(前低) / 159(30M平台),173.04(保守壓力),1.69,量縮｜RV 0.42x｜沿短均線攻擊,空方,"日K：空｜偏多
30M：空｜偏多
位階：中繼位階
量能：量縮｜RV 0.42x
主力：一般整理","空方主導，反彈主要是測壓力，追價風險高。族群：車電功率,自選｜75檔清單，空間健康。","
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 173.04(保守壓力) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 159.5(前低) / 159(30M平台) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：173.04(保守壓力)
支：159.5(前低) / 159(30M平台)
RR: 1.69","車電功率,自選",10,1.69,tone-risk
5309 系統電,重電電力設備,69.7,45,⚠️ 保守盤,🔴 主跌空｜偏保守,⚠️ 保守盤,空｜偏多,空｜偏多,66.6(30M平台) / 66.6(前低),70.2(30M平台),6.20,量縮｜RV 0.32x｜橫向整理,空方,"日K：空｜偏多
30M：空｜偏多
位階：中繼位階
量能：量縮｜RV 0.32x
主力：一般整理",空方主導，反彈主要是測壓力，追價風險高。族群：重電電力設備｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 70.2(30M平台) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 66.6(30M平台) / 66.6(前低) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：70.2(30M平台)
支：66.6(30M平台) / 66.6(前低)
RR: 6.20",重電電力設備,10,6.2,tone-risk
2458 義隆,MCU,146.5,0,⚠️ 保守盤,💤 空方壓縮｜等方向,⚠️ 保守盤,空｜偏空,空｜強空,146(前低) / 146(30M平台),149(30M平台),0.20,量縮｜RV 0.53x｜均線下彎,空方壓縮,"日K：空｜偏空
30M：空｜強空
位階：中繼位階
量能：量縮｜RV 0.53x
主力：量縮壓縮",空方整理中，若支撐失守，容易再往下找平衡。族群：MCU｜75檔清單，空間不足。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟦 等待劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 149(30M平台) 與 146(前低) / 146(30M平台) 哪一邊先被確認。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">方向還沒選邊，先等更明確的表態。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">在突破或跌破前，先把它當整理盤。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這種盤以等待為主，太早預設方向通常容易被洗。 空間不算漂亮，追價前要先想清楚風險。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
","壓：149(30M平台)
支：146(前低) / 146(30M平台)
RR: 0.20",MCU,6,0.2,tone-risk
2382 廣達,AI伺服器,372.0,74,🌤 積極盤,👀 多方回檔｜看關鍵位,🌤 積極盤,多｜偏多,空｜偏空,370(前低) / 368.5(30M平台),378.5(30M平台) / 380.5(前高),3.25,量縮｜RV 0.31x｜橫向整理,洗盤,"日K：多｜偏多
30M：空｜偏空
位階：中繼位階
量能：量縮｜RV 0.31x
主力：量縮壓縮",主趨勢還沒壞，但短線先進入回檔觀察，重點看支撐是否守穩。族群：AI伺服器｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 370(前低) / 368.5(30M平台) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 370(前低) / 368.5(30M平台) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 378.5(30M平台) / 380.5(前高) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
","壓：378.5(30M平台) / 380.5(前高)
支：370(前低) / 368.5(30M平台)
RR: 3.25",AI伺服器,3,3.25,tone-watch
3324 雙鴻,散熱液冷,1055.0,76,🌤 積極盤,🟠 空方反彈｜看關鍵位,🌤 積極盤,空｜偏多,多｜強多,998(前低) / 998(30M平台),1086.65(保守壓力),1.80,量縮｜RV 0.40x｜沿短均線攻擊,反彈,"日K：空｜偏多
30M：多｜強多
位階：均線附近
量能：量縮｜RV 0.40x
主力：一般整理",反彈屬性較強，先看壓力是否有效，暫不急著翻多。族群：散熱液冷｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 998(前低) / 998(30M平台) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 998(前低) / 998(30M平台) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 1086.65(保守壓力) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
","壓：1086.65(保守壓力)
支：998(前低) / 998(30M平台)
RR: 1.80",散熱液冷,5,1.8,tone-watch
8054 安國,"自選題材,自選",99.7,0,⚠️ 保守盤,💤 空方壓縮｜等方向,⚠️ 保守盤,空｜強空,空｜偏空,99.5(前低) / 99.4(30M平台),101(30M平台) / 103.02(MA60),0.15,量縮｜RV 0.61x｜均線下彎,空方壓縮,"日K：空｜強空
30M：空｜偏空
位階：中繼位階
量能：量縮｜RV 0.61x
主力：量縮壓縮","空方整理中，若支撐失守，容易再往下找平衡。族群：自選題材,自選｜75檔清單，空間不足。","
<div class=""script-wrap"">
  <div class=""script-core"">🟦 等待劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 101(30M平台) / 103.02(MA60) 與 99.5(前低) / 99.4(30M平台) 哪一邊先被確認。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">方向還沒選邊，先等更明確的表態。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">在突破或跌破前，先把它當整理盤。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這種盤以等待為主，太早預設方向通常容易被洗。 空間不算漂亮，追價前要先想清楚風險。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
","壓：101(30M平台) / 103.02(MA60)
支：99.5(前低) / 99.4(30M平台)
RR: 0.15","自選題材,自選",6,0.15,tone-risk
6213 聯茂,PCB載板材料,252.5,29,⚠️ 保守盤,🔴 主跌空｜偏保守,⚠️ 保守盤,空｜偏多,空｜偏空,248(30M平台) / 248(前低),254(前高) / 258(30M平台),3.00,量縮｜RV 0.67x｜橫向整理,空方,"日K：空｜偏多
30M：空｜偏空
位階：中繼位階
量能：量縮｜RV 0.67x
主力：一般整理",空方主導，反彈主要是測壓力，追價風險高。族群：PCB載板材料｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">⚠️ 風險劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">反彈到 254(前高) / 258(30M平台) 若不過，容易仍在弱勢節奏中。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若 248(30M平台) / 248(前低) 失守，短線風險會再升高。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方壓力暫時當成調節區，不宜過度樂觀。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前以風險控管為先，除非重新站回關鍵位，否則不宜想得太快。 盤面風險升高，先以保守應對為主。</div>
</div>
","壓：254(前高) / 258(30M平台)
支：248(30M平台) / 248(前低)
RR: 3.00",PCB載板材料,10,3.0,tone-risk
6515 穎崴,封測,9590.0,94,🔥 攻擊盤,🟠 空方反彈｜看關鍵位,🔥 攻擊盤,空｜偏多,多｜強多,8893(MA20) / 8720(30M平台),9877.7(保守壓力),2.42,放量｜RV 1.36x｜均線上彎,反彈,"日K：空｜偏多
30M：多｜強多
位階：中繼位階
量能：放量｜RV 1.36x
主力：一般整理",反彈屬性較強，先看壓力是否有效，暫不急著翻多。族群：封測｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 8893(MA20) / 8720(30M平台) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 8893(MA20) / 8720(30M平台) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 9877.7(保守壓力) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
","壓：9877.7(保守壓力)
支：8893(MA20) / 8720(30M平台)
RR: 2.42",封測,5,2.42,tone-watch
6781 AES-KY,BBU,1145.0,80,🔥 攻擊盤,🟠 空方反彈｜看關鍵位,🔥 攻擊盤,空｜偏多,多｜偏多,1080(前低),1155(前高) / 1170(30M平台),6.50,量縮｜RV 0.79x｜均線上彎,反彈,"日K：空｜偏多
30M：多｜偏多
位階：均線附近
量能：量縮｜RV 0.79x
主力：量縮壓縮",反彈屬性較強，先看壓力是否有效，暫不急著翻多。族群：BBU｜75檔清單，空間健康。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 1080(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 1080(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 1155(前高) / 1170(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
","壓：1155(前高) / 1170(30M平台)
支：1080(前低)
RR: 6.50",BBU,5,6.5,tone-watch
3711 日月光投控,封測,590.0,72,🌥 中性盤,⚠️ 末升段｜等突破,🌥 中性盤,多｜強多,多｜強多,569.9(MA20) / 544(30M平台),607.7(保守壓力),0.88,量縮｜RV 1.01x｜沿短均線攻擊,末升,"日K：多｜強多
30M：多｜強多
位階：高檔延伸
量能：量縮｜RV 1.01x
主力：一般整理",趨勢仍偏多，但節奏已經開始鈍化，追價風險升高。族群：封測｜75檔清單，空間普通。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟠 高檔劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開高但量能跟不上，先視為高檔震盪，不急著追。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">569.9(MA20) / 544(30M平台) 一旦失守，容易進入較明顯的修正。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">607.7(保守壓力) 若無法快速站穩，上方就先當成壓力區。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">趨勢還沒壞，但短線已偏熱，追價的報酬效率開始下降。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
","壓：607.7(保守壓力)
支：569.9(MA20) / 544(30M平台)
RR: 0.88",封測,1,0.88,tone-watch
